ProteinIDs,ACY-738_FUS_plusplus1,ACY-738_FUS_plusplus2,ACY-738_FUS_plusplus3,FUSplusplus_vehicle4,FUSplusplus_vehicle5,FUSplusplus_vehicle6,FUSminusminus_vehicle7,FUSminusminus_vehicle8,FUSminusminus_vehicle9
Q99PL6,28.3072,28.101,28.3271,28.3254,28.1443,27.9607,27.7841,27.608,27.9347
Q99PP9,24.3932,24.2162,24.1994,24.1512,24.4322,23.9203,22.6972,23.889,24.1948
Q99PT1,32.2819,32.0475,32.2648,32.2741,32.3355,32.1581,32.1736,32.2368,32.3845
Q99PU5,31.9479,31.6568,31.6843,31.755,31.8625,31.7011,31.9173,31.7122,31.9469
Q99PU8,25.5749,25.5917,25.1736,25.6708,25.2867,25.89,25.6245,26.1698,25.9216
Q99PV0,28.7488,28.7163,28.8398,28.7892,29.0551,29.0172,28.8751,29.316,29.2003
Q9BCZ4,25.0285,25.0554,25.0248,24.4942,24.8614,25.0459,24.0338,24.9167,24.582
Q9CPP6,29.4192,29.3594,29.4991,29.4107,29.2693,29.3467,29.4912,29.2709,29.3492
Q9CPQ1,31.4902,31.5081,31.2324,31.5088,31.2027,30.9819,30.5341,31.2348,31.2761
Q9CPQ3,27.9411,27.8555,27.8284,28.2221,28.0269,28.0768,28.2109,28.0082,28.0595
Q9CPQ8,30.9993,30.5139,31.0394,30.7488,30.9089,30.5489,30.7279,30.5675,30.6044
Q9CPR4,29.6348,29.434,29.4873,29.5353,29.889,29.6269,29.4584,29.3886,29.7869
Q9CPS6,28.2691,28.5522,28.2758,27.1129,28.1462,28.1987,27.7933,27.7503,27.8748
Q9CPT4,26.2308,25.5949,26.0666,26.2728,26.4483,26.0477,25.4129,25.8288,26.5968
Q9CPU0,31.3371,31.218,31.4183,31.3927,31.4794,31.1478,31.3952,31.1359,31.249
Q9CPU2,28.2833,28.1865,28.266,28.3899,28.0282,27.9087,27.7967,27.8886,28.1623
Q9CPU4,28.7057,28.2638,28.5734,28.171,28.2291,28.3155,27.6989,27.8523,28.6848
Q9CPV4,31.1264,31.0028,31.082,31.0117,31.1267,31.0247,30.8977,30.8423,31.0903
Q9CPW0,29.5677,29.5549,29.4914,29.5383,29.195,29.2836,29.7717,29.3248,29.3106
Q9CPW4,26.7738,27.0413,26.8514,26.9517,27.2385,27.399,27.9094,27.7942,26.746
Q9CPX6,28.3353,27.9831,27.9083,28.2723,28.3314,28.1103,27.2797,27.675,27.9848
Q9CPX7,23.9975,24.4718,25.1748,23.9276,24.6292,23.3343,24.7408,25.2949,24.3001
Q9CPY7,30.878,30.8457,30.8506,31.3833,31.1982,31.0989,30.9424,30.9999,30.8622
Q9CPZ8,23.3544,24.9356,25.2304,24.9226,24.5588,24.9277,25.2679,24.6912,22.9195
Q9CQ22,27.5614,27.7459,27.4075,27.8852,27.8598,27.951,27.5987,27.6186,27.8083
Q9CQ40,23.0729,25.5039,24.3838,24.3119,24.0214,25.4974,24.3519,24.9819,25.6422
Q9CQ45,25.2116,24.2955,23.0448,24.8842,25.4305,25.0832,24.8095,25.1568,25.3411
Q9CQ48,25.1166,25.2849,24.8839,25.3645,25.1643,25.0989,25.3533,25.2293,25.3172
Q9CQ54,30.2164,30.2045,30.0809,30.2502,30.299,29.9896,29.9617,30.0372,30.1378
Q9CQ60,29.3787,29.3285,29.4706,29.8231,29.8515,29.7402,29.3309,29.6464,29.5981
Q9CQ62,29.2228,29.0653,29.1854,29.266,29.4663,29.2271,29.3347,29.1171,29.261
Q9CQ65,29.1664,29.1111,29.1416,29.2142,29.0511,28.8939,28.9606,29.0293,29.1157
Q9CQ69,30.3685,30.0698,30.1839,30.0884,29.9713,29.9683,29.8919,29.9478,30.2532
Q9CQ75,30.0003,30.3837,30.1239,29.8445,29.4328,29.7506,30.1606,29.6605,29.688
Q9CQ80,24.7946,24.7986,24.2969,24.8607,25.0463,24.7366,24.3859,24.5598,24.623
Q9CQ91,28.9374,29.2353,29.3335,29.7494,29.5422,28.9713,28.7039,28.8758,28.6388
Q9CQ92,29.4171,29.0028,29.1844,29.6607,29.1845,29.2203,28.8915,29.0332,29.1683
Q9CQA1,25.0922,24.6413,25.0163,24.8745,24.2413,24.8948,25.2004,24.9199,25.3092
Q9CQA3,31.213,30.8821,30.8885,31.1096,30.96,30.9477,30.8515,30.9181,31.1166
Q9CQB5,25.6665,25.2355,25.7546,25.3794,25.4483,24.4147,26.5685,24.2117,25.9838
Q9CQC6,27.3616,27.3314,27.2694,27.5001,27.634,27.3961,27.4122,27.7211,27.7696
Q9CQC7,31.1038,30.5607,30.71,30.7876,30.7742,30.6443,30.7998,30.494,30.7907
Q9CQC9,28.7433,28.5316,28.5436,28.6942,28.6506,28.5775,28.0789,28.6614,28.266
Q9CQD1,29.1753,29.2586,29.2389,29.2309,29.5175,29.285,29.0423,29.432,29.5726
Q9CQE1,27.1329,26.9402,27.0344,27.0947,26.9379,27.2316,26.8001,27.1951,26.9573
Q9CQE5,26.0172,25.8074,25.9955,26.1828,26.1532,25.8612,25.8501,25.6265,25.8059
Q9CQE8,29.4066,29.3063,29.6025,29.4904,29.6071,29.4438,28.8197,29.2852,29.4987
Q9CQF3,27.2636,27.2929,26.8338,27.1707,27.0583,27.2626,26.9078,27.2164,26.9706
Q9CQF4,25.5084,25.5986,25.6742,26.0018,25.335,25.279,24.172,25.3905,25.2986
Q9CQF9,28.8604,28.7788,28.8792,29.1491,29.2509,28.9802,29.1116,28.6875,29.0076
Q9CQH3,29.0899,28.9896,28.8396,29.3934,28.8161,28.8602,29.2829,29.2578,28.8961
Q9CQH7,28.4922,28.2946,28.4682,28.5451,28.787,28.5727,27.8847,28.5012,28.2107
Q9CQI3;Q9ERL7,29.7668,29.7786,29.8215,29.9471,30.2455,29.7959,29.7682,29.6411,29.685
Q9CQI6,30.5072,30.553,30.4477,31.0707,30.8397,30.9392,30.6688,31.2614,31.0449
Q9CQJ6,25.7826,25.4391,25.783,25.9876,25.6356,25.4669,25.5418,25.3007,25.8231
Q9CQJ8,30.4303,29.8799,30.1173,29.9697,30.3302,29.8753,29.8378,30.0458,30.2847
Q9CQK7,27.182,27.0346,26.9855,26.9805,26.9467,26.5892,27.1754,26.9082,27.3891
Q9CQL5,25.2312,25.372,25.4003,22.4966,25.2013,25.4493,25.3816,24.5559,24.5669
Q9CQM5,26.6046,26.5876,26.6656,26.3629,26.6039,26.5108,26.3531,26.4213,26.5522
Q9CQM9,30.1892,30.049,30.4425,30.0942,30.1766,30.0418,29.3806,29.5188,29.4494
Q9CQN1,28.6723,28.4745,28.6682,28.4498,28.4231,28.5406,28.6397,28.2848,27.9044
Q9CQP2,24.8175,24.1834,24.4499,25.0599,23.3423,24.341,24.0944,24.2541,24.0725
Q9CQQ7,32.4746,32.3441,32.4091,32.3045,32.3103,32.1162,32.5856,32.3563,32.2761
Q9CQR2,28.2392,28.8156,28.2253,28.4685,28.5672,28.381,28.5773,28.7328,28.3386
Q9CQR4,28.1411,27.56,27.7615,27.5066,27.7125,28.0168,27.8576,27.9089,27.8265
Q9CQR6,27.1348,26.4154,26.567,26.8181,27.0166,26.8591,27.0179,27.1091,27.1091
Q9CQS4,26.9398,26.5633,26.7581,27.0861,26.6102,26.7371,27.2381,26.8956,26.7981
Q9CQT1,26.5885,26.9201,26.9577,26.7369,25.9402,26.909,27.1218,27.2055,27.0236
Q9CQU0,26.5125,26.548,26.3237,26.7871,26.5982,26.484,26.6598,26.5284,26.8584
Q9CQU3,26.2334,26.234,26.0096,26.4809,26.1528,26.3184,26.3733,26.2002,26.1375
Q9CQU5,25.5106,25.6882,25.6104,24.1595,25.4152,25.4453,24.8918,25.615,24.9569
Q9CQV1,24.1744,23.2001,24.4778,25.0033,24.739,24.4652,24.1995,24.6465,23.7373
Q9CQV6,29.914,29.9906,29.7155,30.1107,29.6866,29.9725,29.4801,29.7768,29.8365
Q9CQV8,31.932,31.8538,31.912,31.9434,31.8359,31.8608,31.9253,31.9283,31.7609
Q9CQW1,28.4289,28.1726,28.3185,28.1509,28.4736,28.3631,28.3744,28.4053,28.3951
Q9CQX2,30.6465,30.6223,30.7117,30.7327,30.5501,30.3987,30.2049,30.2945,30.3863
Q9CQX8,29.6109,29.2227,29.7274,29.8978,29.4036,29.3468,29.4435,29.6424,29.4254
Q9CQY6,24.0264,24.1544,24.2993,24.4776,24.4241,24.1618,23.5727,24.174,24.1127
Q9CQZ1,27.364,28.959,28.6453,28.8505,28.7504,27.2423,27.4504,27.3103,28.7847
Q9CQZ5,29.6963,29.4943,29.5406,29.6593,29.4009,29.1911,29.481,28.8839,29.6482
Q9CQZ6,28.6272,28.4919,28.5635,28.7128,28.1628,28.2727,27.8218,28.5643,28.5896
Q9CR00,27.5955,27.8818,27.5866,27.4304,27.5144,27.7814,27.8199,27.747,27.9274
Q9CR09,27.3207,26.8686,27.2463,26.9804,27.0597,26.969,27.057,26.9574,26.9212
Q9CR16,29.8163,29.6304,29.8907,29.6721,29.6458,29.5911,28.9117,29.0297,28.9647
Q9CR21,30.902,30.5858,30.9169,30.8128,30.8049,30.7634,30.6031,30.7346,30.8637
Q9CR26,28.268,27.8876,28.0112,28.0766,27.9008,27.7827,28.448,27.7989,27.8653
Q9CR27,24.4571,24.9006,24.8837,24.6456,24.7753,24.8549,24.7488,24.8713,24.6248
Q9CR41,26.2197,26.6968,26.4549,25.6651,27.1421,26.4141,26.5489,25.4408,26.7239
Q9CR51,29.0918,28.8372,28.8732,29.2954,29.3168,29.1122,28.8637,29.2873,29.2815
Q9CR57,28.5853,28.5795,28.5513,28.7773,28.545,28.7057,28.4725,28.2593,28.5609
Q9CR61,28.8557,28.7825,28.8334,28.6077,28.7821,28.6528,28.3602,28.6426,28.6885
Q9CR62,31.5763,31.4149,31.5029,31.2963,31.4358,31.4908,31.2619,31.3978,31.57
Q9CR67,27.3921,27.5984,27.5851,26.7742,27.294,27.507,27.318,27.7874,27.3144
Q9CR68,32.3351,31.8704,31.9518,32.135,31.7793,31.8783,32.3016,31.9693,31.8473
Q9CR86,28.8328,28.0891,28.5087,28.7186,28.5018,28.4017,28.3923,28.7998,28.8496
Q9CR95,28.6349,28.2666,28.308,28.0519,27.8166,28.3757,28.503,27.8927,27.9869
Q9CR98,27.0204,26.8526,26.7752,27.2875,26.8272,26.9855,26.9764,27.0144,26.8479
Q9CRA5,25.3725,24.6562,25.5375,25.595,25.7752,25.5455,25.3771,25.5116,25.5814
Q9CRA7,26.8261,26.8359,26.4654,26.5387,26.3353,26.4013,26.9672,26.3975,26.3694
Q9CRB6,32.727,32.7219,32.4942,32.493,32.3411,32.2243,32.3459,32.352,32.3367
Q9CRB8,25.2972,25.3719,25.0612,24.3919,25.4158,24.9236,25.2219,25.0537,24.1188
Q9CRB9,29.0069,29.0383,28.8255,29.0491,28.9703,28.8786,29.2996,28.8185,29.0017
Q9CRC8,25.5743,25.391,25.4576,26.3115,25.7262,25.6959,25.4988,25.5845,26.0843
Q9CRC9,27.8712,27.7066,27.92,27.1492,28.0389,28.1643,27.9407,28.0912,27.9159
Q9CRD0,28.2791,28.305,28.1696,28.1036,28.3334,28.1834,28.6303,27.9632,27.8184
Q9CRD2,26.3335,26.1567,26.0783,26.7487,26.5224,26.0099,26.1368,26.0728,26.514
Q9CRT8,24.0464,23.8059,24.1193,23.9779,24.7078,24.4699,24.4687,24.3026,24.2947
Q9CRY7,26.704,27.066,27.1877,27.049,27.2194,26.8675,27.1707,26.8932,26.5506
Q9CS42,24.9036,25.4481,25.3273,25.989,25.4903,25.5427,26.334,25.5389,24.8504
Q9CS84;P0DI97,26.8107,26.746,26.7867,27.0831,26.711,26.7288,27.0843,26.3587,26.5036
Q9CT10,25.6835,25.9503,25.6496,26.1948,25.906,25.7811,26.0478,25.8972,26.3628
Q9CTY5,25.7968,26.035,25.4078,25.1486,25.9248,25.9117,26.8033,25.6425,25.8961
Q9CU62,25.8414,25.9351,25.5359,25.9234,25.4718,25.4085,25.8445,25.1681,25.5536
Q9CVB6,30.1306,29.903,30.1631,30.188,30.1886,30.2002,30.2945,30.2351,30.082
Q9CW03,25.4115,25.3329,25.5231,25.765,26.2025,25.7837,25.1847,25.7773,25.3642
Q9CWE0,27.7178,27.4164,27.7261,27.5764,27.4187,27.4258,27.2168,27.3825,27.502
Q9CWF2,34.3462,34.163,34.33,34.1934,34.5269,34.1274,33.7425,34.1768,34.3586
Q9CWJ9,29.4694,29.5457,29.6158,29.6196,29.4922,29.5396,29.4197,29.5701,29.3523
Q9CWK8,29.0632,29.0014,29.2904,29.1142,29.1255,29.2019,29.132,29.1039,29.3047
Q9CWM4,28.2929,28.0603,27.8656,27.6838,27.5171,27.5619,27.3603,27.8974,27.9953
Q9CWP6,25.2743,25.3353,25.51,25.0606,25.1311,25.0518,24.7739,25.4578,24.7768
Q9CWS0,31.1361,30.9433,30.8454,31.0396,30.9318,30.9649,31.1586,31.0132,31.0286
Q9CWZ3,26.3172,27.1462,26.2699,26.9436,26.9313,26.4291,26.888,26.8531,26.6393
Q9CWZ7,30.6864,30.7433,30.6425,30.881,30.5007,30.5196,30.8568,30.6017,30.6238
Q9CX00,25.8253,26.0562,25.8981,25.9243,25.7663,25.7794,25.8938,26.001,26.1126
Q9CX34,29.0182,28.7754,28.9225,29.0002,28.8245,28.6931,28.433,28.5387,28.4635
Q9CX56,28.2348,27.8667,28.2022,27.8087,28.2117,28.0529,27.6053,28.2092,28.1872
Q9CX80,29.2232,28.7774,28.8735,29.172,29.0542,28.975,29.1655,29.0451,28.8676
Q9CX86,28.7415,28.0606,28.4305,27.6659,28.9205,28.2563,28.1002,28.4825,28.7772
Q9CXI0,26.0831,25.5295,23.7283,25.5119,25.9445,25.5733,25.4184,25.1507,25.8405
Q9CXI5,26.2756,26.0791,26.0591,26.3134,26.2504,26.0003,25.8517,25.7528,25.9138
Q9CXJ4,26.6414,26.5173,26.5082,26.7053,27.0309,26.1512,26.3594,26.7446,26.3531
Q9CXP8,25.5318,25.5687,25.4498,25.4037,26.7365,26.0785,25.8032,26.0044,25.7792
Q9CXR1,25.9442,26.4313,26.3639,26.1118,26.7664,26.4997,25.7991,26.1983,26.2976
Q9CXS4,26.8502,26.2659,26.2026,27.0266,26.758,26.6971,26.6003,26.3514,27.0274
Q9CXT8,26.8831,26.9357,26.7111,26.6875,26.5822,26.8082,27.4103,26.7681,27.0452
Q9CXV1,26.8157,26.7223,26.3161,25.801,26.316,26.2807,26.1197,26.4145,27.2612
Q9CXW2,25.5337,25.5534,25.4506,25.7081,25.4923,25.3773,25.7033,25.4354,25.5794
Q9CXW3,29.1623,29.0046,29.1183,28.8328,28.8296,28.7561,28.3399,28.3141,28.2379
Q9CXW4,29.1609,28.832,28.9826,28.6002,28.7821,29.3296,28.9508,28.9595,29.27
Q9CXY6,28.8009,28.7547,28.6708,28.2106,29.0219,28.8771,28.6263,28.5744,28.7905
Q9CXZ1,30.8989,30.6961,30.7507,30.872,30.566,30.5693,30.3414,30.3054,30.5313
Q9CY27,28.9975,29.2187,28.8906,28.8652,28.8948,28.8282,29.4431,29.0437,29.2298
Q9CY57,24.6439,24.7661,24.5327,23.3602,24.0403,24.3606,26.9132,25.1619,25.0809
Q9CY58,28.6939,28.6367,28.7083,29.0642,28.983,28.8602,28.9629,28.9363,29.1032
Q9CY64,29.693,29.3589,29.4546,29.4957,29.3939,29.3685,29.4388,29.4692,29.4076
Q9CYG7,28.0642,27.4904,27.6498,27.0958,27.5914,27.0737,26.3451,26.0905,26.7255
Q9CYH2,29.0196,28.9757,29.0705,29.358,29.3205,29.1239,28.8055,29.0724,29.219
Q9CYL5,25.1672,25.1065,24.0215,26.3676,25.3878,25.6471,26.0687,26.4485,25.8398
Q9CYN2,22.4869,24.9149,22.694,25.9414,26.226,25.9334,25.1308,25.5285,26.2635
Q9CYR0,26.0094,25.6459,25.6848,26.364,25.6925,25.424,25.9119,25.829,25.3476
Q9CYR6,28.0003,27.9998,27.8734,28.1455,28.1642,28.1513,28.255,28.3865,28.2964
Q9CYT6,27.4949,27.2917,27.3337,27.4924,27.3557,26.9816,26.9142,26.9239,27.4347
Q9CYW4,27.2638,26.8334,27.0928,27.4436,27.1077,27.1637,27.2165,26.9255,27.1074
Q9CYZ2,29.2851,28.9124,29.5581,29.3028,29.5918,29.2522,28.7923,29.1654,29.0192
Q9CZ04,28.0603,28.1808,27.9889,27.9727,27.9611,27.7083,28.3429,27.8882,28.0881
Q9CZ13,33.3162,32.94,33.1948,33.1267,33.0733,32.9572,32.9125,33.0398,33.0703
Q9CZ30,30.407,30.1816,30.4587,30.302,30.4227,30.1646,30.131,29.9421,30.0561
Q9CZ42,29.4062,29.2922,29.3652,29.4047,29.6118,29.3184,28.7298,29.1429,29.6113
Q9CZ44,29.9471,29.8199,29.9537,29.9114,29.8204,29.725,29.8231,29.7727,29.7405
Q9CZ52,24.6942,24.6394,24.5634,25.2677,24.5216,24.542,24.6066,24.544,24.6718
Q9CZA6,25.65,25.4346,25.2814,25.8467,25.598,25.2259,25.2077,25.6599,25.7943
Q9CZB0,29.5206,29.7116,29.7287,29.5049,29.6741,29.5348,29.503,29.431,29.4557
Q9CZC8,30.2533,30.451,30.2885,30.2368,30.2467,30.3729,30.1675,30.2469,30.4784
Q9CZD3,30.9014,30.7033,30.7793,30.807,30.7971,30.74,30.7631,30.8069,31.1043
Q9CZJ2,28.4827,28.5328,28.6641,28.4543,28.0492,28.1644,28.2072,28.2864,28.492
