id,ACY-738_FUS_plusplus1,ACY-738_FUS_plusplus2,ACY-738_FUS_plusplus3,FUSplusplus_vehicle4,FUSplusplus_vehicle5,FUSplusplus_vehicle6,FUSminusminus_vehicle7,FUSminusminus_vehicle8,FUSminusminus_vehicle9
ENSMUSG00000072770,2.652851007,2.041892634,2.627652715,2.515782576,2.839474632,2.24797315,2.543498243,2.747930041,2.859795527
ENSMUSG00000001039,2.872218016,2.680133856,2.846061328,2.58943949,2.799638027,2.37844864,2.859769404,2.891608762,2.7924303
ENSMUSG00000020829,2.859574325,2.867300289,2.728122595,2.199770073,2.596047732,2.360676588,2.784942922,2.916144176,2.765070431
ENSMUSG00000003208,2.598667004,2.629058219,2.608683105,2.706518856,2.732249796,2.709906641,2.690272893,2.683876512,2.554088185
ENSMUSG00000024232,2.421477553,2.447280676,2.519672036,2.859824575,2.543768267,2.54073986,2.02624036,1.837218104,1.907700863
ENSMUSG00000049357,0.938818137,1.890390151,1.689794163,2.614979288,2.464640561,2.299758019,0.193863308,0.310765904,0.475485459
ENSMUSG00000081344,2.619483994,2.877776403,2.71566712,2.843007904,2.826206334,2.722230395,2.497032327,2.457178,2.518945405
ENSMUSG00000078870,2.530709433,1.863577893,2.247808387,1.392163053,1.937424662,1.720566119,2.799780851,2.968159861,2.983419913
ENSMUSG00000070972,2.53342356,2.466958823,2.647832051,2.798614248,2.749857824,2.701893266,2.350780563,2.362584597,2.302808882
ENSMUSG00000058488,2.438367156,1.828773085,2.342384063,2.15805227,2.481967515,2.233577133,2.44414192,2.778326404,2.661497009
ENSMUSG00000012483,2.859229076,2.329956557,2.93319247,2.735163869,2.629395569,2.600542031,2.766854686,2.717785811,2.631339791
ENSMUSG00000012819,2.796315336,2.777754887,2.826247401,2.677938121,2.787175761,2.839878523,2.683089823,2.836416356,2.960626141
ENSMUSG00000074102,2.921954085,3.032179858,2.928803008,2.683022032,2.725359863,2.640792619,2.737868284,2.761603238,2.693514571
ENSMUSG00000012017,2.182820835,2.663615293,2.251045048,2.783302958,2.745881005,2.757480498,2.049772394,2.322307697,1.741930469
ENSMUSG00000023919,2.528347597,2.714028291,2.792642459,2.667943108,2.478835746,2.667281351,2.857813134,2.8400482,2.959697263
ENSMUSG00000083307,2.514203296,2.938732389,2.688831367,2.733693405,2.685997596,2.728279583,2.829487326,2.671578847,2.635973688
ENSMUSG00000040621,2.680036196,2.517334231,2.554478505,2.11867888,2.587618756,2.382587518,2.786947837,2.646197377,2.586098451
ENSMUSG00000029363,2.25356103,2.626934219,2.229116747,2.700523048,2.627533884,2.555639368,1.89686442,2.002122146,1.73236769
ENSMUSG00000032484,0.83291534,0.479246037,0.774074112,0.933492611,1.548510388,0.933632925,-0.516515296,-0.837823006,-0.581488022
